Country,Variable,YEA,Unit,Value
Australia,"Renewable energy supply, % total energy supply",1995,Percentage,5.98
Australia,"Renewable energy supply, % total energy supply",1996,Percentage,6.17
Australia,"Renewable energy supply, % total energy supply",1997,Percentage,6.32
Australia,"Renewable energy supply, % total energy supply",1998,Percentage,5.95
Australia,"Renewable energy supply, % total energy supply",1999,Percentage,5.9
Australia,"Renewable energy supply, % total energy supply",2000,Percentage,5.88
Australia,"Renewable energy supply, % total energy supply",2001,Percentage,6.13
Australia,"Renewable energy supply, % total energy supply",2002,Percentage,6.17
Australia,"Renewable energy supply, % total energy supply",2003,Percentage,5.98
Australia,"Renewable energy supply, % total energy supply",2004,Percentage,5.8
Australia,"Renewable energy supply, % total energy supply",2005,Percentage,5.69
Australia,"Renewable energy supply, % total energy supply",2006,Percentage,5.64
Australia,"Renewable energy supply, % total energy supply",2007,Percentage,5.67
Australia,"Renewable energy supply, % total energy supply",2008,Percentage,5.61
Australia,"Renewable energy supply, % total energy supply",2009,Percentage,4.43
Australia,"Renewable energy supply, % total energy supply",2010,Percentage,5.29
Australia,"Renewable energy supply, % total energy supply",2011,Percentage,5.45
Australia,"Renewable energy supply, % total energy supply",2012,Percentage,5.49
Australia,"Renewable energy supply, % total energy supply",2013,Percentage,6.01
Australia,"Renewable energy supply, % total energy supply",2014,Percentage,6.25
Australia,"Renewable energy supply, % total energy supply",2015,Percentage,6.32
Australia,"Renewable energy supply, % total energy supply",2016,Percentage,6.56
Australia,"Renewable energy supply, % total energy supply",2017,Percentage,6.96
Australia,"Renewable energy supply, % total energy supply",2018,Percentage,7.04
Australia,"Renewable electricity, % total electricity generation",1995,Percentage,9.62
Australia,"Renewable electricity, % total electricity generation",1996,Percentage,9.23
Australia,"Renewable electricity, % total electricity generation",1997,Percentage,9.59
Australia,"Renewable electricity, % total electricity generation",1998,Percentage,8.43
Australia,"Renewable electricity, % total electricity generation",1999,Percentage,8.54
Australia,"Renewable electricity, % total electricity generation",2000,Percentage,8.38
Australia,"Renewable electricity, % total electricity generation",2001,Percentage,8.1
Australia,"Renewable electricity, % total electricity generation",2002,Percentage,7.86
Australia,"Renewable electricity, % total electricity generation",2003,Percentage,8.44
Australia,"Renewable electricity, % total electricity generation",2004,Percentage,8.19
Australia,"Renewable electricity, % total electricity generation",2005,Percentage,8.8
