"","V1"
"mu",393.8025
"sigma_squared",2172.14949782609
"mu",508.300833333333
"sigma_squared",3779.56186014493
"mu",10.4841666666667
"sigma_squared",23.7299297101449
"mu",24.7179166666667
"sigma_squared",85.3777389492753
"mu",95.625
"sigma_squared",0.244565217391304
"mu",34.0762131819125
"sigma_squared",25.2454235204495
"mu",532.887916666667
"sigma_squared",7539.58586938406
"mu",97.3316666666667
"sigma_squared",4.77117623188405
"mu",5.40291666666667
"sigma_squared",0.798491123188406
"mu",3.16833333333333
"sigma_squared",0.0972840579710145
"mu",38649.0483333333
"sigma_squared",2669054.01910145
"mu",14.61125
"sigma_squared",14.258529673913
"mu",4.56833333333333
"sigma_squared",2.09235710144928
